Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
31/12/2018;182,4;89,63;83,96;175,14;57,7;137,16;18,86;4,64;3,81;60,4;60,56;70,7;39,48;23,1;61,51;104,95;24,04;14,82;5,04;13,75;110,45;484,8;7,02;22,35;17,37;9,41;1,94;411,6;22,08;201,2;258,2;38,54;190,55;5,03;7,27;143,3;105,4;75,25;86,93;59,72;88,14;46,18;72,02;138,92
01/01/2019;182,4;89,63;83,96;175,14;57,7;137,16;18,86;4,64;3,81;60,4;60,56;70,7;39,48;23,1;61,51;104,95;24,04;14,82;5,04;13,75;110,45;484,8;7,02;22,43;17,37;9,41;1,94;411,6;22,08;201,2;258,2;38,54;190,55;5,03;7,27;143,3;105,4;75,25;86,93;59,72;88,14;46,18;72,02;138,92
02/01/2019;184,4;87,69;84,17;175;57,47;137,46;18,81;4,66;3,81;60,72;60,86;69,74;39,09;23,06;61,04;105,95;24,04;14,82;5,08;13,78;110,7;477,6;7;22,11;17,39;9,35;1,91;402,8;22,11;199,6;253,3;37,99;188,4;5,01;7,43;141,2;103,45;74,99;87,01;59,22;88,78;46,66;71,44;136,26
03/01/2019;183,95;86,07;81,21;173,16;58,17;131,74;18,65;4,68;3,84;60,02;60,8;69,05;38,86;22,89;61,09;104,95;23,63;14,93;5,09;13,84;109,65;464;7,01;22,89;16,58;9,37;1,9;380,7;22,16;197,2;243,65;37,59;187,25;4,91;7,41;138,95;101,1;74,26;84,31;57,58;86,4;46,26;71,2;134,76
04/01/2019;191,05;88,47;85,12;177,36;60,54;133,7;19,24;4,85;3,99;63,19;64,9;71,71;40,74;24,07;61,98;107,5;24,53;15,05;5,16;14,34;110,8;477,8;7,06;23,07;17,14;9,84;2;397,4;22,34;200;251,15;39,51;190,85;5,1;7,74;141,1;105,2;74,93;86,44;59,72;89,78;47,41;72,58;140,48
07/01/2019;189,7;87,98;83,56;175,92;60,28;137,04;19,15;4,83;4,01;62,9;63,87;72,12;40,68;23,63;60,84;107,25;24,65;15,07;5,15;14,21;110,6;472,2;7,12;23,57;17,76;9,86;2,03;396,4;22,38;197,45;250,7;39,59;188,4;5,21;7,69;138,65;103,45;73,44;86,62;59,46;88,6;47,3;72,22;140,64
08/01/2019;194,3;88,1;86,65;176,1;61,47;136,12;19,22;4,87;4,04;63,22;65,52;72,21;40,89;23,91;61,32;107,5;24,96;14,87;5,18;14,13;111,2;479,9;7,09;23,84;17,72;9,94;2,01;410,5;22,59;198,65;258,55;39,87;186,3;5,26;7,76;138,7;106,45;74,02;87,97;59,92;88,96;47,2;73,14;143
09/01/2019;193,85;86,9;89,68;177,14;60,78;141;19,35;4,94;4,02;63,33;65,59;72,95;40,78;24,45;61,56;107,9;25,33;14,77;5,16;14,26;111,7;491,2;6,86;23,51;18,19;9,82;2,01;420,1;22,4;197,05;261,55;41,06;187,65;5,33;7,79;138,25;107,95;73,73;89,18;60,16;89,28;47,83;72,9;146,48
10/01/2019;195,5;85,95;89,61;178,52;61,22;140,14;19,51;4,98;4,1;63,5;65,88;72,53;41,22;24,56;61,76;108;25,18;14,78;5,25;14,24;112,1;489,9;6,9;23,45;17,93;9,85;2,02;405,4;22,61;198,15;259,15;41,38;190,15;5,29;7,82;138,5;105,6;73,78;89,44;59,92;89,39;47,6;73,08;144,92
11/01/2019;197;85,33;88,38;178,96;63,49;140,78;19,56;5,04;4,1;63,03;65,7;71,83;41,37;24,41;62,08;108,7;25;14,74;5,2;14,17;112,25;496,4;6,91;23,21;18,11;9,83;2,01;405,9;22,42;197,95;258,3;41,05;191,5;5,27;7,79;138,45;105,55;73,73;89;58,9;88,28;46,79;72,98;142,18
14/01/2019;197,3;84,63;89,91;179,22;63,18;138,9;19,68;4,99;4,07;62,61;64,85;71,59;41,62;24,45;61,73;107,95;24,98;14,71;5,21;14,12;112,05;488,7;6,88;23,34;17,99;9,89;1,98;397,7;22,38;195,9;251,7;41,36;191,8;5,24;7,82;136,55;105,8;72,5;88,07;58,56;88,12;47,05;73,04;144,12
15/01/2019;199,25;85,58;92,31;179,24;63,54;139,52;19,74;4,99;4,08;63;65,02;71,62;41,7;24,62;62,26;109,35;24,5;14,69;5,22;14,25;111,95;494;6,92;23,08;18,22;9,93;1,96;394,3;22,31;196,9;250,8;41,5;191,4;5,25;7,79;138,3;108;73,79;89,3;58,2;88,43;46,99;73,46;145,06
16/01/2019;198,1;85,91;92,54;180,4;61,83;139,1;20,05;5,11;4,13;62,87;65,08;71,53;43,08;24,73;61,47;111,85;25,06;14,68;5,22;14,28;111,95;488,9;6,92;23,36;18,33;10,29;2,03;397;22,34;195,25;248,95;41,85;191,45;5,17;7,87;137,2;108,35;73,91;89,47;58,54;88,33;47,05;73,82;144,9
