Date;EUR006M Index
31/12/2018;-0,237
02/01/2019;-0,238
03/01/2019;-0,237
04/01/2019;-0,237
07/01/2019;-0,236
08/01/2019;-0,236
09/01/2019;-0,236
10/01/2019;-0,236
11/01/2019;-0,236
14/01/2019;-0,236
15/01/2019;-0,236
16/01/2019;-0,236
17/01/2019;-0,236
18/01/2019;-0,235
21/01/2019;-0,236
22/01/2019;-0,237
23/01/2019;-0,237
24/01/2019;-0,236
25/01/2019;-0,237
28/01/2019;-0,237
29/01/2019;-0,237
30/01/2019;-0,236
31/01/2019;-0,236
01/02/2019;-0,235
04/02/2019;-0,235
05/02/2019;-0,234
06/02/2019;-0,234
07/02/2019;-0,233
08/02/2019;-0,233
11/02/2019;-0,232
12/02/2019;-0,231
13/02/2019;-0,231
14/02/2019;-0,231
15/02/2019;-0,232
18/02/2019;-0,232
19/02/2019;-0,232
20/02/2019;-0,231
21/02/2019;-0,231
22/02/2019;-0,231
25/02/2019;-0,23
26/02/2019;-0,23
27/02/2019;-0,229
28/02/2019;-0,229
01/03/2019;-0,23
04/03/2019;-0,23
05/03/2019;-0,231
06/03/2019;-0,232
07/03/2019;-0,231
08/03/2019;-0,232
11/03/2019;-0,232
12/03/2019;-0,231
13/03/2019;-0,232
14/03/2019;-0,232
15/03/2019;-0,232
18/03/2019;-0,231
19/03/2019;-0,232
20/03/2019;-0,231
21/03/2019;-0,229
22/03/2019;-0,228
25/03/2019;-0,228
26/03/2019;-0,228
27/03/2019;-0,227
28/03/2019;-0,228
29/03/2019;-0,228
01/04/2019;-0,228
02/04/2019;-0,23
03/04/2019;-0,23
04/04/2019;-0,23
05/04/2019;-0,231
08/04/2019;-0,231
09/04/2019;-0,231
10/04/2019;-0,231
11/04/2019;-0,232
12/04/2019;-0,232
15/04/2019;-0,231
16/04/2019;-0,232
17/04/2019;-0,232
18/04/2019;-0,232
23/04/2019;-0,23
24/04/2019;-0,231
25/04/2019;-0,23
26/04/2019;-0,229
29/04/2019;-0,231
30/04/2019;-0,231
02/05/2019;-0,232
03/05/2019;-0,23
06/05/2019;-0,23
07/05/2019;-0,229
08/05/2019;-0,23
09/05/2019;-0,231
10/05/2019;-0,231
13/05/2019;-0,231
14/05/2019;-0,232
15/05/2019;-0,235
16/05/2019;-0,237
17/05/2019;-0,24
20/05/2019;-0,241
21/05/2019;-0,244
22/05/2019;-0,242
23/05/2019;-0,242
24/05/2019;-0,241
27/05/2019;-0,24
28/05/2019;-0,242
29/05/2019;-0,245
30/05/2019;-0,247
31/05/2019;-0,25
03/06/2019;-0,254
04/06/2019;-0,254
05/06/2019;-0,254
06/06/2019;-0,259
07/06/2019;-0,256
10/06/2019;-0,258
11/06/2019;-0,258
12/06/2019;-0,259
13/06/2019;-0,259
14/06/2019;-0,261
17/06/2019;-0,268
18/06/2019;-0,276
19/06/2019;-0,299
20/06/2019;-0,303
21/06/2019;-0,308
24/06/2019;-0,308
25/06/2019;-0,311
26/06/2019;-0,311
27/06/2019;-0,313
28/06/2019;-0,311
01/07/2019;-0,313
02/07/2019;-0,327
03/07/2019;-0,335
04/07/2019;-0,338
05/07/2019;-0,344
08/07/2019;-0,338
09/07/2019;-0,336
10/07/2019;-0,329
11/07/2019;-0,342
12/07/2019;-0,342
15/07/2019;-0,343
16/07/2019;-0,35
17/07/2019;-0,357
18/07/2019;-0,353
19/07/2019;-0,354
22/07/2019;-0,361
23/07/2019;-0,362
24/07/2019;-0,368
25/07/2019;-0,368
26/07/2019;-0,362
29/07/2019;-0,351
30/07/2019;-0,355
31/07/2019;-0,362
01/08/2019;-0,363
02/08/2019;-0,367
05/08/2019;-0,369
06/08/2019;-0,383
07/08/2019;-0,389
08/08/2019;-0,393
09/08/2019;-0,396
12/08/2019;-0,4
13/08/2019;-0,401
14/08/2019;-0,406
15/08/2019;-0,409
16/08/2019;-0,427
19/08/2019;-0,423
20/08/2019;-0,425
21/08/2019;-0,424
22/08/2019;-0,418
23/08/2019;-0,408
26/08/2019;-0,415
27/08/2019;-0,415
28/08/2019;-0,427
29/08/2019;-0,423
30/08/2019;-0,428
02/09/2019;-0,439
03/09/2019;-0,448
04/09/2019;-0,439
05/09/2019;-0,431
06/09/2019;-0,423
09/09/2019;-0,413
10/09/2019;-0,414
11/09/2019;-0,408
12/09/2019;-0,408
13/09/2019;-0,377
16/09/2019;-0,361
17/09/2019;-0,365
18/09/2019;-0,369
19/09/2019;-0,368
20/09/2019;-0,358
23/09/2019;-0,363
24/09/2019;-0,373
25/09/2019;-0,375
26/09/2019;-0,376
27/09/2019;-0,377
30/09/2019;-0,386
01/10/2019;-0,387
